,FWHM_Broad_Ha,FWHM_Broad_Hb,FWHM_Broad_Hb_Err,FWHM_Broad_Ha_Err
QSO002,3225.0,3490.0,262.8,27.4
QSO003,3996.0,4076.0,95.2,50.7
QSO004,4305.0,5075.0,193.1,66.4
QSO005,4559.0,5495.0,173.7,61.3
QSO007,4162.0,4207.0,37.9,47.8
QSO009,4735.0,5273.0,55.8,10.5
QSO010,4577.0,4217.0,202.3,113.4
QSO011,3795.0,3174.0,426.308204717,247.816068386
QSO012,2532.0,3606.0,110.6,26.7
QSO013,4043.0,5171.0,236.6,26.3
QSO014,2940.0,2865.0,109.0,12.7
QSO015,3373.0,3877.0,64.0,21.1
QSO016,2994.0,3086.0,88.6,24.5
QSO017,3072.0,4103.0,60.3,6.0
QSO018,2638.0,2904.0,327.717111422,89.2523502466
QSO021,2285.0,3044.0,196.4,25.9
QSO022,3020.0,4161.0,219.8,16.9
QSO023,2299.0,2660.0,93.2,36.0
QSO025,4618.0,5261.0,410.4,32.4
QSO027,6409.0,6776.0,468.827912133,416.220750878
QSO112,2795.0,3748.0,160.319646476,392.061553544
QSO125,5212.0,5536.0,479.5,530.7
QSO128,2428.0,3658.0,416.1,63.2
QSO129,3858.0,4992.0,568.6,90.2
QSO134,4842.0,6236.0,260.8,38.0
QSO140,3483.0,5184.0,283.5,98.2
QSO147,3084.0,3512.0,123.8,42.6
QSO149,7165.0,7057.0,341.498575456,285.853661581
QSO155,5441.0,6787.0,259.4,232.6
QSO163,4129.0,5462.0,74.0,35.4
QSO164,4100.0,4448.0,235.0,157.4
QSO166,3551.0,5635.0,501.6,137.0
QSO168,4587.0,6350.0,146.182855955,60.4878684884
QSO177,3539.0,5678.0,181.7,78.3
QSO308,6391.0,7325.0,275.0,435.6
QSO346,4084.0,6794.0,752.125479927,293.736689168
QSO349,3428.0,3822.0,392.26751361,56.3568537788
QSO350,3513.0,3419.0,226.336190623,84.2971136485
QSO351,6195.0,8412.0,788.307704382,519.374591196
QSO352,4394.0,6820.0,988.063970576,144.121176661
QSO353,3653.0,4330.0,285.661403327,111.434094912
QSO354,4558.0,4575.0,163.4,306.1
QSO355,5564.0,7370.0,630.0,220.6
QSO356,3337.0,4233.0,712.501328806,93.2398088806
QSO357,3507.0,4310.0,307.383818658,40.8576590315
QSO361,6155.0,7268.0,522.0,145.1
QSO363,3903.0,6010.0,369.9,329.7
QSO364,4120.0,5010.0,1313.6,345.0
QSO367,2379.0,3057.0,404.9,978.1
QSO368,3376.0,3870.0,184.5,33.6
QSO390,3186.0,5320.0,428.3,72.3
QSO396,4609.0,4878.0,359.8,221.5
QSO397,6451.0,7340.0,422.4,85.7
QSO398,3436.0,3582.0,278.2,199.7
QSO399,3051.0,3510.0,339.0,68.3
QSO402,3860.0,4727.0,414.609433581,484.153652031
QSO418,3378.0,4780.0,360.3,340.9
QSO422,5662.0,5051.0,391.9,103.3
QSO470,3156.0,3949.0,319.9,145.9
QSO478,2916.0,3456.0,298.4,31.8
QSO480,4109.0,4283.0,301.8,67.0
QSO488,3564.0,4068.0,661.7,80.0
QSO489,3694.0,4676.0,362.161290226,29.6389320809
QSO490,3763.0,4391.0,418.8,79.3
QSO493,5926.0,6175.0,468.6,50.4
QSO496,3477.0,3662.0,348.6,46.5
QSO498,2689.0,3296.0,525.5,27.3
QSO500,4326.0,5193.0,504.5,77.0
QSO501,5475.0,5655.0,365.6,45.5
QSO502,4025.0,4612.0,301.9,131.9
QSO503,5759.0,8247.0,766.2,253.7
QSO504,2531.0,3113.0,208.2,169.0
QSO505,3658.0,4042.0,512.3,68.8
QSO507,5516.0,6008.0,198.8,110.7
QSO508,3892.0,3900.0,1528.7,74.5
QSO510,5479.0,5826.0,220.8,36.2
QSO511,4264.0,4883.0,1253.8,74.8
QSO512,5360.0,6293.0,674.4,123.7
QSO513,5841.0,6892.0,655.3,88.5
QSO515,3405.0,5110.0,935.108750626,1188.81237751
QSO523,4538.0,4759.0,179.846321537,13.8510443866
QSO526,6133.0,6019.0,115.1,34.5
QSO530,4522.0,5512.0,111.594745731,29.7333090321
QSO533,4660.0,5341.0,112.6,29.4
QSO534,3561.0,4300.0,126.2,20.2
QSO535,7736.0,9256.0,96.9720947827,297.665233856
QSO536,3578.0,4595.0,67.3,7.9
QSO537,8036.0,7342.0,175.7,61.7
QSO538,3102.0,3547.0,86.9,9.2
QSO539,4574.0,5912.0,340.786870398,23.924150968
QSO540,4004.0,5423.0,122.1,22.7
QSO541,2760.0,2956.0,217.4,11.7
QSO542,3267.0,4080.0,190.8,23.9
QSO543,5594.0,5888.0,249.6,12.5
QSO544,4313.0,6046.0,52.8,20.6
QSO547,4676.0,4396.0,58.0,22.7
QSO548,5487.0,6583.0,62.8,8.45
QSO549,4911.0,5521.0,75.5,12.5
QSO640,3089.0,3680.0,235.9,31.4
